trial,value,lr,bs,wd,grad_norm,mask_prob,warmup_ratio
32,4.788798943161964,0.00010459928044239174,32,0.14503617338551517,2.6882561600202144,0.15015368054366507,0.05731821177609913
28,5.003519669175148,7.22204954721081e-05,32,0.11576889543840316,2.6794295901349208,0.15382241851652909,0.08344274206574105
25,5.049067467451096,6.83558178986995e-05,32,0.1627740664556174,2.577193467900448,0.16286441948763877,0.05734670281103563
20,5.336525157094002,8.94507335048991e-05,32,0.10638287579113255,2.989559678661527,0.1363670269101711,0.1161701336201877
8,5.337207064032555,7.017579643372771e-05,32,0.19499193194384512,2.7311037621990497,0.13573676756084702,0.1486464964777785
12,5.342078059911728,2.504958429180804e-05,32,0.07930901949405647,2.0354716674609232,0.135322141886071,0.197608781606052
19,5.342510402202606,0.00012424154058300545,128,0.057749898636553595,2.319590691840196,0.1094871044918789,0.20924677278442524
7,5.3461964428424835,5.65521257915501e-05,32,0.2543467175985188,2.050893460182715,0.1068154055272866,0.18043545052262205
30,5.358764737844467,6.166424985045955e-05,64,0.15379761424000074,2.9453784958943103,0.13643502850352893,0.0906896726649494
23,5.369495928287506,2.5554847211536965e-05,32,0.0858519469268474,1.9090066482617511,0.17949469911109284,0.15243953731798182
